gw_transaction_id,gw_amount,gw_date,gw_merchant_name,gw_reference_number,bank_transaction_id,bank_amount,bank_date,bank_merchant_name,bank_reference_number,status,confidence,rule_score,llm_available
GW00040,149.02,2026-03-16,Blinkit Grocery,TXN725759823371,BK00040,149.02,2026-03-16,Blinkit Grocery,TXN725759823371,exact,1.0,1.0,True
GW00055,7135.52,2026-02-16,Zomato,NEFT977112030342,BK00055,7135.52,2026-02-17,Zomato,NEFT977112030342,exact,1.0,1.0,True
GW00053,3384.94,2026-06-09,FabIndia,REF193180901890,BK00053,3384.94,2026-06-12,FabIndia,REF193180901890,exact,1.0,1.0,True
GW00063,13974.18,2026-05-20,Tata CLiQ,IMPS471404490349,BK00063,13668.15,2026-05-20,Tata CLiQ,IMPS471404490349,exact,1.0,1.0,True
GW00062,433.54,2026-06-28,Tanishq Jewellery,TXN664761009125,BK00062,422.92,2026-06-28,Tanishq Jewellery,TXN664761009125,exact,1.0,1.0,True
GW00070,3017.98,2026-01-28,Kalyan Jewellers,IMPS313678796352,BK00070,3017.98,2026-01-28,Kalyan Jwellers,IMPS313678796352,exact,1.0,1.0,True
GW00066,7544.46,2026-06-18,Zepto Delivery,TXN502141043542,BK00066,7362.64,2026-06-18,Zepto Delivery,TXN502141043542,exact,1.0,1.0,True
GW00056,2421.62,2026-04-24,Unacademy,TXN086291422089,BK00056,2421.62,2026-04-26,Unacademy,TXN086291422089,exact,1.0,1.0,True
GW00009,701.41,2026-02-24,MakeMyTrip,NEFT123522062980,BK00009,701.41,2026-02-24,MakeMyTrip,NEFT123522062980,exact,1.0,1.0,True
GW00026,718.17,2026-07-12,Goibibo Hotels,TXN810967485733,BK00026,718.17,2026-07-12,Goibibo Hotels,TXN810967485733,exact,1.0,1.0,True
GW00020,18897.35,2026-07-29,Reliance Fresh,TXN807398882718,BK00020,18897.35,2026-07-29,Reliance Fresh,TXN807398882718,exact,1.0,1.0,True
GW00045,135.83,2026-04-21,JioMart,TXN013752166954,BK00045,135.83,2026-04-21,JioMart,TXN013752166954,exact,1.0,1.0,True
GW00038,3189.5,2026-06-19,DMart Ready,PAY551245247402,BK00038,3189.5,2026-06-19,DMart Ready,PAY551245247402,exact,1.0,1.0,True
GW00052,8385.91,2026-02-08,Vijay Sales,NEFT431652707783,BK00052,8385.91,2026-02-10,Vijay Sales,NEFT431652707783,exact,1.0,1.0,True
GW00010,9856.5,2026-01-26,PharmEasy,IMPS195478104447,BK00010,9856.5,2026-01-26,PharmEasy,IMPS195478104447,exact,1.0,1.0,True
GW00059,584.93,2026-04-04,MakeMyTrip,UPI869634570271,BK00059,584.93,2026-04-07,MakeMyTrip,UPI869634570271,exact,1.0,1.0,True
GW00043,6343.71,2026-03-16,Amazon India,NEFT366792261100,BK00043,6343.71,2026-03-16,Amazon India,NEFT366792261100,exact,1.0,1.0,True
GW00017,103.19,2026-07-17,Mamaearth,UPI526726249804,BK00017,103.19,2026-07-17,Mamaearth,UPI526726249804,exact,1.0,1.0,True
GW00019,44584.23,2026-07-24,Air India,PAY878822178461,BK00019,44584.23,2026-07-24,Air India,PAY878822178461,exact,1.0,1.0,True
GW00025,19394.74,2026-03-21,BookMyShow,UPI346579762660,BK00025,19394.74,2026-03-21,BookMyShow,UPI346579762660,exact,1.0,1.0,True
GW00060,38968.67,2026-04-12,PharmEasy,IMPS982848731919,BK00060,38968.67,2026-04-15,PharmEasy,IMPS982848731919,exact,1.0,1.0,True
GW00036,3415.29,2026-08-07,HDFC Life Insurance,NEFT968747928544,BK00036,3415.29,2026-08-07,HDFC Life Insurance,NEFT968747928544,exact,1.0,1.0,True
GW00007,9800.88,2026-05-17,Uber India,IMPS954139822507,BK00007,9800.88,2026-05-17,Uber India,IMPS954139822507,exact,1.0,1.0,True
GW00054,49897.04,2026-07-11,Boat Lifestyle,NEFT688833778006,BK00054,49897.04,2026-07-12,Boat Lifestyle,NEFT688833778006,exact,1.0,1.0,True
GW00005,2003.86,2026-04-22,Zomato,UPI403959807652,BK00005,2003.86,2026-04-22,Zomato,UPI403959807652,exact,1.0,1.0,True
GW00061,9487.58,2026-06-06,OYO Rooms,PAY032137236364,BK00061,9313.96,2026-06-06,OYO Rooms,PAY032137236364,exact,1.0,1.0,True
GW00042,21894.13,2026-05-31,IndiGo Airlines,UPI618902545673,BK00042,21894.13,2026-05-31,IndiGo Airlines,UPI618902545673,exact,1.0,1.0,True
GW00041,542.08,2026-05-28,Paytm Mall,UPI967102439281,BK00041,542.08,2026-05-28,Paytm Mall,UPI967102439281,exact,1.0,1.0,True
GW00051,4105.77,2026-05-22,Ola Cabs,REF274958225941,BK00051,4105.77,2026-05-25,Ola Cabs,REF274958225941,exact,1.0,1.0,True
GW00004,16113.65,2026-02-10,Boat Lifestyle,NEFT117574539147,BK00004,16113.65,2026-02-10,Boat Lifestyle,NEFT117574539147,exact,1.0,1.0,True
GW00039,37606.54,2026-02-19,Rapido Bike Taxi,IMPS353953432737,BK00039,37606.54,2026-02-19,Rapido Bike Taxi,IMPS353953432737,exact,1.0,1.0,True
GW00044,9174.79,2026-07-31,Myntra Fashion,REF277469766945,BK00044,9174.79,2026-07-31,Myntra Fashion,REF277469766945,exact,1.0,1.0,True
GW00022,139.9,2026-04-22,Lenskart,REF825905374918,BK00022,139.9,2026-04-22,Lenskart,REF825905374918,exact,1.0,1.0,True
GW00064,607.56,2026-07-15,Swiggy Food Delivery,UPI331184665072,BK00064,598.02,2026-07-15,Swiggy Food Delivery,UPI331184665072,exact,1.0,1.0,True
GW00027,778.97,2026-04-24,IRCTC Rail,REF728645911455,BK00027,778.97,2026-04-24,IRCTC Rail,REF728645911455,exact,1.0,1.0,True
GW00050,7715.89,2026-02-04,Urban Company,NEFT961927444411,BK00050,7715.89,2026-02-04,Urban Company,NEFT961927444411,exact,1.0,1.0,True
GW00037,891.41,2026-06-29,Upgrad Education,TXN808246308127,BK00037,891.41,2026-06-29,Upgrad Education,TXN808246308127,exact,1.0,1.0,True
GW00048,4977.93,2026-01-14,BigBasket,NEFT021788084056,BK00048,4977.93,2026-01-14,BigBasket,NEFT021788084056,exact,1.0,1.0,True
GW00047,7843.74,2026-01-10,1mg Pharmacy,TXN948944311446,BK00047,7843.74,2026-01-10,1mg Pharmacy,TXN948944311446,exact,1.0,1.0,True
GW00021,3980.02,2026-01-08,INOX Movies,NEFT388263207356,BK00021,3980.02,2026-01-08,INOX Movies,NEFT388263207356,exact,1.0,1.0,True
GW00067,661.26,2026-07-02,Mamaearth,IMPS360984174831,BK00067,647.44,2026-07-02,Mamaearth,IMPS360984174831,exact,1.0,1.0,True
GW00068,26552.54,2026-04-13,Croma Electronics,PAY352547168584,BK00068,25933.87,2026-04-13,Croma Electronics,PAY352547168584,exact,1.0,1.0,True
GW00072,4067.72,2026-04-05,PVR Cinemas,PAY733085416072,BK00072,4067.72,2026-04-05,PVR Cinema,PAY733085416072,exact,1.0,1.0,True
GW00057,846.2,2026-04-12,Uber India,IMPS296439813326,BK00057,846.2,2026-04-14,Uber India,IMPS296439813326,exact,1.0,1.0,True
GW00032,1468.72,2026-03-31,Vistara Airlines,TXN812343829484,BK00032,1468.72,2026-03-31,Vistara Airlines,TXN812343829484,exact,1.0,1.0,True
GW00006,5853.87,2026-07-19,Unacademy,TXN498251982661,BK00006,5853.87,2026-07-19,Unacademy,TXN498251982661,exact,1.0,1.0,True
GW00023,30284.9,2026-06-20,EaseMyTrip,REF586971499661,BK00023,30284.9,2026-06-20,EaseMyTrip,REF586971499661,exact,1.0,1.0,True
GW00065,1232.0,2026-07-22,Dunzo Quick,IMPS228319081121,BK00065,1213.4,2026-07-22,Dunzo Quick,IMPS228319081121,exact,1.0,1.0,True
GW00011,1455.24,2026-05-19,OYO Rooms,REF438214422948,BK00011,1455.24,2026-05-19,OYO Rooms,REF438214422948,exact,1.0,1.0,True
